picid,title,author,date,lat,lon,scenicness,thumbnail
18964,Marconi - New Century Park,Kevin Croucher,2005-06-14,52.40268,-1.467139,1.29,http://s0.geograph.org.uk/photos/01/89/018964_1945ddea_120x120.jpg
19031,Coventry Council House,Kevin Croucher,2005-06-15,52.406188,-1.508991,3.06,http://s3.geograph.org.uk/photos/01/90/019031_a89262e9_120x120.jpg
19036,Coventry Cathedral,Kevin Croucher,2005-06-15,52.407979,-1.507501,2.82,http://s0.geograph.org.uk/photos/01/90/019036_86dfe089_120x120.jpg
19042,Coventry War Memorial,Kevin Croucher,2005-06-15,52.393644,-1.519417,3.56,http://s2.geograph.org.uk/photos/01/90/019042_fd4ed225_120x120.jpg
19050,City College Coventry,Kevin Croucher,2005-06-15,52.406248,-1.52369,1.72,http://s2.geograph.org.uk/photos/01/90/019050_29a5bb6f_120x120.jpg
19051,Alvis,Kevin Croucher,2005-06-15,52.411659,-1.528042,1.79,http://s3.geograph.org.uk/photos/01/90/019051_057cc2a2_120x120.jpg
27504,The Alan Higgs sports centre,David Stowell,2005-07-15,52.392538,-1.470935,1.26,http://s0.geograph.org.uk/photos/02/75/027504_c528565f_120x120.jpg
27506,"Asda supermarket, Whitley, Coventry",David Stowell,2005-07-15,52.3899,-1.484191,1.07,http://s2.geograph.org.uk/photos/02/75/027506_4912042c_120x120.jpg
27509,Grounds at Alan Higgs sports centre,David Stowell,2005-07-15,52.392551,-1.473874,2.77,http://s1.geograph.org.uk/photos/02/75/027509_f796125e_120x120.jpg
27511,Jaguar's Whitley Plant,David Stowell,2005-07-15,52.385443,-1.493059,1.40,http://s3.geograph.org.uk/photos/02/75/027511_87037014_120x120.jpg
29347,"The Cocked Hat, Binley",David Stowell,2005-07-21,52.395065,-1.434165,3.42,http://s3.geograph.org.uk/photos/02/93/029347_23866255_120x120.jpg
29349,"DIY store, Binley",David Stowell,2005-07-21,52.395065,-1.434165,0.88,http://s1.geograph.org.uk/photos/02/93/029349_e40a2c96_120x120.jpg
30022,"Kenpas Highway, Coventry",David Stowell,2005-07-23,52.379255,-1.518104,1.50,http://s2.geograph.org.uk/photos/03/00/030022_160efdeb_120x120.jpg
30024,Finham Petrol Station,David Stowell,2005-07-23,52.379249,-1.516635,0.93,http://s0.geograph.org.uk/photos/03/00/030024_5a0a4481_120x120.jpg
30025,"Green Lane, Styvechale, Coventry",David Stowell,2005-07-23,52.383791,-1.528339,1.11,http://s1.geograph.org.uk/photos/03/00/030025_285007f2_120x120.jpg
30026,"Tutbury Avenue, Canley",David Stowell,2005-07-23,52.384753,-1.54449,2.44,http://s2.geograph.org.uk/photos/03/00/030026_037555d7_120x120.jpg
30028,Canley Cemetery,David Stowell,2005-07-23,52.388366,-1.548861,2.81,http://s0.geograph.org.uk/photos/03/00/030028_e260c294_120x120.jpg
30029,"Sir Henry Parkes Road, Canley",David Stowell,2005-07-23,52.39108,-1.553242,2.12,http://s1.geograph.org.uk/photos/03/00/030029_1dc484ed_120x120.jpg
30030,"Coventry Business Park, Canley",David Stowell,2005-07-23,52.400047,-1.547273,1.20,http://s2.geograph.org.uk/photos/03/00/030030_c7539cfd_120x120.jpg
30031,"Hearsall Common, Coventry",David Stowell,2005-07-23,52.402704,-1.536956,3.06,http://s3.geograph.org.uk/photos/03/00/030031_49328763_120x120.jpg
30032,"Chapel Fields, Coventry",David Stowell,2005-07-23,52.40811,-1.53984,2.76,http://s0.geograph.org.uk/photos/03/00/030032_9363793e_120x120.jpg
30033,"Grayswood Avenue, Coventry",David Stowell,2005-07-23,52.412639,-1.548614,2.07,http://s1.geograph.org.uk/photos/03/00/030033_b29d26cc_120x120.jpg
30035,"St Barbara's, Earlsdon",David Stowell,2005-07-23,52.396417,-1.538492,2.21,http://s3.geograph.org.uk/photos/03/00/030035_89468aae_120x120.jpg
30037,"Kenilworth Road, Coventry",David Stowell,2005-07-23,52.37487,-1.546061,3.06,http://s1.geograph.org.uk/photos/03/00/030037_e91307da_120x120.jpg
30039,Gibbet Hill Farm building at Warwick University,David Stowell,2005-07-23,52.373999,-1.553414,2.61,http://s3.geograph.org.uk/photos/03/00/030039_6b390932_120x120.jpg
30040,Gibbet Hill Crossroads,David Stowell,2005-07-23,52.370392,-1.550513,1.85,http://s0.geograph.org.uk/photos/03/00/030040_f3fe58b9_120x120.jpg
31870,"Charter House, Coventry",David Stowell,2005-07-30,52.398934,-1.494374,3.62,http://s2.geograph.org.uk/photos/03/18/031870_00b37b65_120x120.jpg
31871,"Charter House pub, Coventry",David Stowell,2005-07-30,52.400726,-1.492884,3.12,http://s3.geograph.org.uk/photos/03/18/031871_02901771_120x120.jpg
31872,Playing Fields by the River Sherbourne,David Stowell,2005-07-30,52.399839,-1.495833,3.59,http://s0.geograph.org.uk/photos/03/18/031872_18af2f48_120x120.jpg
31874,"London Road, Whitley, Coventry",David Stowell,2005-07-30,52.392641,-1.494446,2.57,http://s2.geograph.org.uk/photos/03/18/031874_61d84d8e_120x120.jpg
31875,"Christ Church, Cheylesmore, Coventry",David Stowell,2005-07-30,52.393553,-1.497374,1.45,http://s3.geograph.org.uk/photos/03/18/031875_7bc66aed_120x120.jpg
31876,"Shopping parade, Cheylesmore",David Stowell,2005-07-30,52.39359,-1.506191,1.62,http://s0.geograph.org.uk/photos/03/18/031876_f2880b88_120x120.jpg
31877,"Quinton Park, Cheylesmore",David Stowell,2005-07-30,52.391792,-1.506211,4.44,http://s1.geograph.org.uk/photos/03/18/031877_1439d229_120x120.jpg
31878,"Cheylesmore, Coventry",David Stowell,2005-07-30,52.392697,-1.507671,1.72,http://s2.geograph.org.uk/photos/03/18/031878_3fdf5712_120x120.jpg
31879,"St Jame's Church, Styvechale, Coventry",David Stowell,2005-07-30,52.388238,-1.516537,3.69,http://s3.geograph.org.uk/photos/03/18/031879_07c096c6_120x120.jpg
31881,"Leamington Road, Styvechale, Coventry",David Stowell,2005-07-30,52.387339,-1.516546,2.23,http://s1.geograph.org.uk/photos/03/18/031881_7870c5dd_120x120.jpg
31882,"Coat of Arms Bridge, Coventry",David Stowell,2005-07-30,52.387369,-1.523893,3.44,http://s2.geograph.org.uk/photos/03/18/031882_e00bb577_120x120.jpg
31883,House on Coat of Arms Bridge Road,David Stowell,2005-07-30,52.387363,-1.522423,3.38,http://s3.geograph.org.uk/photos/03/18/031883_5a0b3811_120x120.jpg
33870,"Gainford Rise, Binley",David Stowell,2005-08-05,52.408578,-1.439872,1.80,http://s2.geograph.org.uk/photos/03/38/033870_d7a18d2d_120x120.jpg
33872,"Belgrave Road, Wyken",David Stowell,2005-08-05,52.414047,-1.455975,1.39,http://s0.geograph.org.uk/photos/03/38/033872_82519131_120x120.jpg
33877,The Caludon,David Stowell,2005-08-05,52.41404,-1.454505,1.76,http://s1.geograph.org.uk/photos/03/38/033877_47ea6887_120x120.jpg
33881,"St Bartholomew's, Binley",David Stowell,2005-08-05,52.402326,-1.44877,3.36,http://s1.geograph.org.uk/photos/03/38/033881_98d3e7cf_120x120.jpg
33885,"Princethorpe Way, Binley",David Stowell,2005-08-05,52.396966,-1.456185,1.80,http://s1.geograph.org.uk/photos/03/38/033885_53fb5bea_120x120.jpg
33888,Stoke Green,David Stowell,2005-08-05,52.405182,-1.484013,2.71,http://s0.geograph.org.uk/photos/03/38/033888_685307cd_120x120.jpg
33891,"Stoke Green, Coventry",David Stowell,2005-08-05,52.406075,-1.482533,3.78,http://s3.geograph.org.uk/photos/03/38/033891_c63fcfb8_120x120.jpg
33892,"Craven Arms, Binley",David Stowell,2005-08-05,52.402319,-1.4473,2.37,http://s0.geograph.org.uk/photos/03/38/033892_8e15616f_120x120.jpg
33894,"New development, Binley",David Stowell,2005-08-05,52.402313,-1.445831,2.47,http://s2.geograph.org.uk/photos/03/38/033894_f6c4a2c8_120x120.jpg
34678,"London Road, Coventry",David Stowell,2005-08-06,52.385379,-1.478367,1.64,http://s2.geograph.org.uk/photos/03/46/034678_af9da534_120x120.jpg
34681,Whitley Pumping station,David Stowell,2005-08-06,52.385373,-1.476897,3.68,http://s1.geograph.org.uk/photos/03/46/034681_479c9e77_120x120.jpg
34685,"Old Houses, St James lane",David Stowell,2005-08-06,52.383495,-1.459289,2.40,http://s1.geograph.org.uk/photos/03/46/034685_c1dbd651_120x120.jpg
34692,Tollbar End roundabout,David Stowell,2005-08-06,52.377236,-1.466711,1.20,http://s0.geograph.org.uk/photos/03/46/034692_43188bdf_120x120.jpg
34696,"Hepworth Road, Binley",David Stowell,2005-08-07,52.401379,-1.438493,2.23,http://s0.geograph.org.uk/photos/03/46/034696_11df7a68_120x120.jpg
36058,"Site of Canley Level Crossing, Coventry",David Stowell,2005-07-23,52.399154,-1.548751,2.00,http://s2.geograph.org.uk/photos/03/60/036058_9ae32dc6_120x120.jpg
36060,Warwick University Medical Teaching Centre,David Stowell,2005-07-23,52.373999,-1.553414,1.31,http://s0.geograph.org.uk/photos/03/60/036060_86ed96d7_120x120.jpg
36765,Coventry City Centre,Sue Adair,2003-02-04,52.408255,-1.508968,3.70,http://s1.geograph.org.uk/photos/03/67/036765_c108c2bc_120x120.jpg
36771,"Cottages Wilsons Lane, Longford",Sue Adair,2003-02-03,52.455556,-1.490783,3.20,http://s3.geograph.org.uk/photos/03/67/036771_b148b609_120x120.jpg
36798,Coventry Shopping Precinct,Sue Adair,2003-02-04,52.408004,-1.513381,1.82,http://s2.geograph.org.uk/photos/03/67/036798_b0d4ba98_120x120.jpg
44107,Warwick Arts Centre,David Stowell,2005-08-27,52.378527,-1.562183,1.51,http://s3.geograph.org.uk/photos/04/41/044107_2067f31d_120x120.jpg
45935,Tile Hill Station and new bridge,David Stowell,2005-08-29,52.394834,-1.597292,1.43,http://s3.geograph.org.uk/photos/04/59/045935_958896ef_120x120.jpg
45939,"Scarborough Way, Canley, Coventry",David Stowell,2005-08-29,52.392975,-1.579674,1.39,http://s3.geograph.org.uk/photos/04/59/045939_08d8640e_120x120.jpg
45943,"Two churches, some shops and a pub, Charter Avenue, Canley",David Stowell,2005-08-29,52.392055,-1.573805,1.70,http://s3.geograph.org.uk/photos/04/59/045943_e2449f23_120x120.jpg
47049,"Massey Ferguson, Banner Lane, Coventry",David Stowell,2005-08-29,52.410122,-1.598623,1.15,http://s1.geograph.org.uk/photos/04/70/047049_4622f29b_120x120.jpg
47051,"Massey Ferguson, Banner Lane, Coventry",David Stowell,2005-08-29,52.409218,-1.597161,1.42,http://s3.geograph.org.uk/photos/04/70/047051_bae7abf0_120x120.jpg
47168,Demolition at Massey Ferguson,David Stowell,2005-08-29,52.408319,-1.597169,1.78,http://s0.geograph.org.uk/photos/04/71/047168_2312f404_120x120.jpg
47171,"Massey Ferguson, Banner Lane, Coventry",David Stowell,2005-08-29,52.410117,-1.597153,1.53,http://s3.geograph.org.uk/photos/04/71/047171_5652677a_120x120.jpg
48236,Tile Hill College,David Stowell,2005-08-29,52.401055,-1.576658,1.18,http://s0.geograph.org.uk/photos/04/82/048236_8b9d224c_120x120.jpg
48238,Tile Hill Lane,David Stowell,2005-08-29,52.401959,-1.578119,1.89,http://s2.geograph.org.uk/photos/04/82/048238_7d7ed855_120x120.jpg
48243,Lime Tree Park,David Stowell,2005-08-29,52.405513,-1.566326,1.38,http://s3.geograph.org.uk/photos/04/82/048243_413207bd_120x120.jpg
48248,"Gaza Close, Tile Hill, Coventry",David Stowell,2005-08-29,52.402837,-1.572231,1.74,http://s0.geograph.org.uk/photos/04/82/048248_8b4c3e31_120x120.jpg
48249,"Mount Nod, Coventry",David Stowell,2005-08-29,52.408204,-1.564829,2.52,http://s1.geograph.org.uk/photos/04/82/048249_a47637ea_120x120.jpg
48252,"Lower Eastern Green, Coventry",David Stowell,2005-08-29,52.410907,-1.566273,1.23,http://s0.geograph.org.uk/photos/04/82/048252_36da508f_120x120.jpg
48255,"Unicorn Avenue, Lower Eastern Green",David Stowell,2005-08-29,52.41455,-1.579469,1.34,http://s3.geograph.org.uk/photos/04/82/048255_13098fbc_120x120.jpg
48260,"Good Shepherd Lutheran Church, Lower Eastern Green",David Stowell,2005-08-29,52.414545,-1.577999,2.80,http://s0.geograph.org.uk/photos/04/82/048260_e35331a7_120x120.jpg
48262,"Old Cottages, Lower Eastern Green, Coventry",David Stowell,2005-08-29,52.414545,-1.577999,2.34,http://s2.geograph.org.uk/photos/04/82/048262_39b6cd2b_120x120.jpg
48263,"Tile Hill, Coventry",David Stowell,2005-08-29,52.400223,-1.595773,2.87,http://s3.geograph.org.uk/photos/04/82/048263_d00561cd_120x120.jpg
48264,"Tile Hill, Coventry",David Stowell,2005-08-29,52.400223,-1.595773,1.74,http://s0.geograph.org.uk/photos/04/82/048264_63a76c89_120x120.jpg
50426,"Allesley Old Road, Coventry",David Stowell,2005-07-23,52.40811,-1.53984,1.92,http://s2.geograph.org.uk/photos/05/04/050426_58e8e871_120x120.jpg
50428,"Grayswood Avenue shops, Coventry",David Stowell,2005-07-23,52.413538,-1.548605,1.31,http://s0.geograph.org.uk/photos/05/04/050428_9941ce60_120x120.jpg
50418,"The Graylands, Finham",David Stowell,2005-07-23,52.379249,-1.516635,1.77,http://s2.geograph.org.uk/photos/05/04/050418_314a12bc_120x120.jpg
50420,Fletchamstead Highway Roundabout,David Stowell,2005-07-23,52.391979,-1.553233,1.33,http://s0.geograph.org.uk/photos/05/04/050420_0ef9d3c8_120x120.jpg
50423,"Floral Display, Fletchamstead Highway Roundabout",David Stowell,2005-07-23,52.391973,-1.551764,1.37,http://s3.geograph.org.uk/photos/05/04/050423_91eed6bb_120x120.jpg
50424,Canley Halt,David Stowell,2005-07-23,52.399154,-1.548751,1.78,http://s0.geograph.org.uk/photos/05/04/050424_9c4f15a9_120x120.jpg
50430,"St Barbara's, Earlsdon",David Stowell,2005-07-23,52.396417,-1.538492,2.59,http://s2.geograph.org.uk/photos/05/04/050430_051f0791_120x120.jpg
50431,"Rochester Road, Earlsdon",David Stowell,2005-07-23,52.396423,-1.539961,2.35,http://s3.geograph.org.uk/photos/05/04/050431_2b5c1140_120x120.jpg
57452,Coventry - Canley,Ian Rob,2005-09-25,52.39207,-1.578213,1.54,http://s0.geograph.org.uk/photos/05/74/057452_42e5a824_120x120.jpg
58650,National Office of the Learning and Skills Council,Roger Miller,2005-09-27,52.400794,-1.50905,1.44,http://s2.geograph.org.uk/photos/05/86/058650_cc8468e6_120x120.jpg
60270,Coventry - Whitley,Ian Rob,2005-10-02,52.385386,-1.479836,2.48,http://s2.geograph.org.uk/photos/06/02/060270_8c8283b8_120x120.jpg
69041,The Whittle Arch,Richard Harrison,2005-05-15,52.410695,-1.511881,1.53,http://s1.geograph.org.uk/photos/06/90/069041_a374bc6a_120x120.jpg
69043,A blue phoenix in Cov,Richard Harrison,2005-05-15,52.410695,-1.511881,3.40,http://s3.geograph.org.uk/photos/06/90/069043_30de4e10_120x120.jpg
70188,"The Ricoh Arena, Coventry",Richard Harrison,2005-10-24,52.448396,-1.498222,1.08,http://s0.geograph.org.uk/photos/07/01/070188_41b2afe6_120x120.jpg
70189,Where the wives spend Saturday afternoon.,Richard Harrison,2005-10-24,52.444781,-1.493849,0.94,http://s1.geograph.org.uk/photos/07/01/070189_1d43ad4c_120x120.jpg
70558,Stand in the place where you work....get some R.E.M. later,Richard Harrison,2005-10-26,52.386618,-1.562103,1.17,http://s2.geograph.org.uk/photos/07/05/070558_2a683cb5_120x120.jpg
71499,"Jaguar's Heritage Centre, Coventry",Richard Harrison,2005-10-28,52.436062,-1.561613,0.97,http://s3.geograph.org.uk/photos/07/14/071499_b735d9ea_120x120.jpg
71504,Brownshill Green Water Works,Richard Harrison,2005-10-28,52.441417,-1.551262,2.15,http://s0.geograph.org.uk/photos/07/15/071504_6b20d18c_120x120.jpg
73022,"Coventry Hill Hotel, whilst waiting in a queue!",Richard Harrison,2005-10-30,52.426124,-1.573036,1.40,http://s2.geograph.org.uk/photos/07/30/073022_fe07f3f3_120x120.jpg
73038,Priory Place on Diwali night,Richard Harrison,2005-10-31,52.410676,-1.507471,1.47,http://s2.geograph.org.uk/photos/07/30/073038_d93c264c_120x120.jpg
90266,Will the last leaper to leave please turn off the engine?,Richard Harrison,2005-12-12,52.434231,-1.552806,1.40,http://s2.geograph.org.uk/photos/09/02/090266_70f708f9_120x120.jpg
96630,Parkhill Bus Terminus,John Winterbottom,2005-12-28,52.419923,-1.573537,1.74,http://s2.geograph.org.uk/photos/09/66/096630_623027a2_120x120.jpg
96758,Farmland near Allesley Green,John Winterbottom,2005-12-28,52.419056,-1.582367,3.64,http://s2.geograph.org.uk/photos/09/67/096758_c31b1842_120x120.jpg
96774,Farmland Near Upper Eastern Green,John Winterbottom,2005-12-28,52.420919,-1.601466,4.11,http://s2.geograph.org.uk/photos/09/67/096774_415c6aa9_120x120.jpg
96785,Farmland Near Pickford and the A45,John Winterbottom,2005-12-28,52.43345,-1.585173,1.86,http://s1.geograph.org.uk/photos/09/67/096785_145e3c50_120x120.jpg
96791,Footpath across Farmland at Pickford Green,John Winterbottom,2005-12-28,52.42899,-1.59551,1.86,http://s3.geograph.org.uk/photos/09/67/096791_63ca0dac_120x120.jpg
96809,Winter Crops Near Millison's Wood,John Winterbottom,2005-12-28,52.429939,-1.610209,3.34,http://s1.geograph.org.uk/photos/09/68/096809_74fa47df_120x120.jpg
96812,Playground by the Parkhill Estate,John Winterbottom,2005-12-28,52.420833,-1.576469,3.37,http://s0.geograph.org.uk/photos/09/68/096812_f1a7a6d1_120x120.jpg
96815,Farmland near Brook Farm,John Winterbottom,2005-12-28,52.423586,-1.592618,4.18,http://s3.geograph.org.uk/photos/09/68/096815_bb8f44ab_120x120.jpg
96821,Pickford Brook and the A45,John Winterbottom,2005-12-28,52.42804,-1.580812,3.33,http://s1.geograph.org.uk/photos/09/68/096821_e9d85507_120x120.jpg
96829,Pickford Grange Farm,John Winterbottom,2005-12-28,52.427212,-1.601409,3.19,http://s1.geograph.org.uk/photos/09/68/096829_ebfd7070_120x120.jpg
96836,Footpath by Unnamed Brook.,John Winterbottom,2005-12-28,52.42354,-1.579384,4.48,http://s0.geograph.org.uk/photos/09/68/096836_b8f96eb3_120x120.jpg
96842,Footbridge Across the Brook Near Allesley Green,John Winterbottom,2005-12-28,52.422636,-1.577922,3.52,http://s2.geograph.org.uk/photos/09/68/096842_fdaa3236_120x120.jpg
97621,"The City Arms, Earlsdon",David,2005-02-18,52.399085,-1.531115,1.51,http://s1.geograph.org.uk/photos/09/76/097621_b8d92977_120x120.jpg
98753,Harvest Hill Lane,John Winterbottom,2006-01-01,52.441571,-1.593924,3.97,http://s1.geograph.org.uk/photos/09/87/098753_e31842f9_120x120.jpg
98758,Hill Fields Farm on Harvest Hill Lane,John Winterbottom,2006-01-01,52.443359,-1.590965,4.83,http://s2.geograph.org.uk/photos/09/87/098758_a299f15c_120x120.jpg
98767,A Pond by the Footpath.,John Winterbottom,2006-01-01,52.443344,-1.586551,4.02,http://s3.geograph.org.uk/photos/09/87/098767_d4a2f318_120x120.jpg
98778,Footpath Through Farmland,John Winterbottom,2006-01-01,52.446945,-1.587989,4.71,http://s2.geograph.org.uk/photos/09/87/098778_f234567a_120x120.jpg
98819,Farmland South of Corley Moor,John Winterbottom,2006-01-01,52.456813,-1.58201,4.04,http://s3.geograph.org.uk/photos/09/88/098819_2851f32f_120x120.jpg
98828,Pikers Lane,John Winterbottom,2006-01-01,52.44777,-1.567383,4.80,http://s0.geograph.org.uk/photos/09/88/098828_e9035d30_120x120.jpg
98837,Footpath Near Pikers Lane,John Winterbottom,2006-01-01,52.446871,-1.567391,4.32,http://s1.geograph.org.uk/photos/09/88/098837_674ac3cf_120x120.jpg
103708,Mosaic detail in Cov Centre.,Richard Harrison,2005-04-10,52.408897,-1.511901,1.28,http://s0.geograph.org.uk/photos/10/37/103708_7a0e4d93_120x120.jpg
103712,The closed BBC Open Centre.,Richard Harrison,2005-05-15,52.409777,-1.507481,2.24,http://s0.geograph.org.uk/photos/10/37/103712_bc6f0a5f_120x120.jpg
103753,"St. Thomas' Church, Keresley",Richard Harrison,2005-11-05,52.439557,-1.535099,3.29,http://s1.geograph.org.uk/photos/10/37/103753_7259b752_120x120.jpg
105954,Wyken,Ian Rob,2006-01-15,52.421245,-1.457357,1.52,http://s2.geograph.org.uk/photos/10/59/105954_190ffd6f_120x120.jpg
106220,"Wyley Road, Radford",Richard Harrison,2006-01-15,52.420619,-1.520594,1.25,http://s0.geograph.org.uk/photos/10/62/106220_aa618c03_120x120.jpg
106223,"Tamworth Road, Coventry",Richard Harrison,2006-01-15,52.450396,-1.548228,2.85,http://s3.geograph.org.uk/photos/10/62/106223_16055310_120x120.jpg
106355,Wyken,Ian Rob,2006-01-15,52.423969,-1.463206,3.16,http://s3.geograph.org.uk/photos/10/63/106355_f6bdeea3_120x120.jpg
106357,Wyken,Ian Rob,2006-01-15,52.42307,-1.463217,3.88,http://s1.geograph.org.uk/photos/10/63/106357_b127c73f_120x120.jpg
106362,Wyken,Ian Rob,2006-01-15,52.422158,-1.460287,1.82,http://s2.geograph.org.uk/photos/10/63/106362_04f444e4_120x120.jpg
108560,A4114 Allesley Bypass (Pickford Way),John Winterbottom,2006-01-20,52.419858,-1.555892,1.86,http://s0.geograph.org.uk/photos/10/85/108560_1da68709_120x120.jpg
108566,Allesley village,John Winterbottom,2006-01-20,52.422572,-1.560277,2.85,http://s2.geograph.org.uk/photos/10/85/108566_4c8aa5ff_120x120.jpg
108576,Footbridge across Pickford Way,John Winterbottom,2006-01-20,52.421645,-1.552933,3.82,http://s0.geograph.org.uk/photos/10/85/108576_02cddfc8_120x120.jpg
113811,Coventry - War Memorial Park,Ian Rob,2006-01-29,52.390078,-1.526802,4.04,http://s3.geograph.org.uk/photos/11/38/113811_b54301e7_120x120.jpg
117524,Baginton,Ian Rob,2006-02-05,52.376396,-1.479941,1.68,http://s0.geograph.org.uk/photos/11/75/117524_803fcefd_120x120.jpg
117531,Baginton,Ian Rob,2006-02-05,52.376396,-1.479941,2.32,http://s3.geograph.org.uk/photos/11/75/117531_8dd9ebed_120x120.jpg
121737,The Hiron Rail Bridge,John Curran,2006-02-13,52.395317,-1.510875,1.86,http://s1.geograph.org.uk/photos/12/17/121737_4ed40304_120x120.jpg
123090,Wyken Pool,Stephen McKay,2006-01-29,52.448248,-1.464382,5.56,http://s2.geograph.org.uk/photos/12/30/123090_59845dfb_120x120.jpg
124720,Coventry - Foleshill,Ian Rob,2006-02-19,52.439337,-1.482143,3.64,http://s0.geograph.org.uk/photos/12/47/124720_4f7499aa_120x120.jpg
124734,Coventry - Little Heath,Ian Rob,2006-02-19,52.435779,-1.491011,1.69,http://s2.geograph.org.uk/photos/12/47/124734_2080fc6c_120x120.jpg
124743,Coventry - Foleshill,Ian Rob,2006-02-19,52.440248,-1.485075,2.54,http://s3.geograph.org.uk/photos/12/47/124743_447f4721_120x120.jpg
131812,Coventry Cathedral,Keith Havercroft,2006-03-04,52.407979,-1.507501,1.58,http://s0.geograph.org.uk/photos/13/18/131812_84c5f8ba_120x120.jpg
131822,Coventry University,Keith Havercroft,2006-03-04,52.407973,-1.506031,0.90,http://s2.geograph.org.uk/photos/13/18/131822_616e15e1_120x120.jpg
139044,Coventry - Coundon,Ian Rob,2006-03-19,52.427881,-1.538163,1.28,http://s0.geograph.org.uk/photos/13/90/139044_41c6cb81_120x120.jpg
139046,Coventry - Coundon,Ian Rob,2006-03-19,52.426977,-1.536702,1.59,http://s2.geograph.org.uk/photos/13/90/139046_d1d4eafe_120x120.jpg
141039,Traffic on a Level Crossing,Michael Patterson,2006-03-21,52.451235,-1.51055,1.23,http://s3.geograph.org.uk/photos/14/10/141039_91d97eac_120x120.jpg
141045,Ricoh Arena,Michael Patterson,2006-03-21,52.449145,-1.494682,0.70,http://s1.geograph.org.uk/photos/14/10/141045_8c890f7d_120x120.jpg
142391,Coventry Cathedral,Ken Crosby,2002-06-00,52.407979,-1.507501,2.48,http://s3.geograph.org.uk/photos/14/23/142391_4afbdfd8_120x120.jpg
142392,Sad remains of the previous Coventry Cathedral,Ken Crosby,2002-06-00,52.407979,-1.507501,3.43,http://s0.geograph.org.uk/photos/14/23/142392_612b7850_120x120.jpg
152183,Coventry - Wood End,Ian Rob,2006-04-15,52.438392,-1.471857,1.01,http://s3.geograph.org.uk/photos/15/21/152183_b737ca3d_120x120.jpg
157450,Cemetery at Allesley,E Gammie,2006-04-23,52.423449,-1.554386,3.01,http://s2.geograph.org.uk/photos/15/74/157450_8e55e9a6_120x120.jpg
158600,Coventry Station,Roger Miller,2006-04-25,52.400818,-1.514929,1.23,http://s0.geograph.org.uk/photos/15/86/158600_dd632d43_120x120.jpg
